Date,Open,High,Low,Close,Volume
2020-10-13,11934.65,11988.2,11888.9,11934.5,0
2020-10-14,11917.4,11997.2,11822.15,11971.05,0
2020-10-15,12023.45,12025.45,11661.3,11680.35,0
2020-10-16,11727.4,11789.75,11667.85,11762.45,0
2020-10-19,11879.2,11898.25,11820.4,11873.05,0
2020-10-20,11861.0,11949.25,11837.25,11896.8,0
2020-10-21,11958.55,12018.65,11775.75,11937.65,0
2020-10-22,11890.0,11939.55,11823.45,11896.45,0
2020-10-23,11957.9,11974.55,11908.75,11930.35,0
2020-10-26,11937.4,11942.85,11711.7,11767.75,0
2020-10-27,11807.1,11899.05,11723.0,11889.4,0
2020-10-28,11922.6,11929.4,11684.85,11729.6,0
2020-10-29,11633.3,11744.15,11606.45,11670.8,0
2020-10-30,11678.45,11748.95,11535.45,11642.4,0
2020-11-02,11697.35,11725.65,11557.4,11669.15,0
2020-11-03,11734.45,11836.2,11723.3,11813.5,0
2020-11-04,11783.35,11929.65,11756.4,11908.5,0
2020-11-05,12062.4,12131.1,12027.6,12120.3,0
2020-11-06,12156.65,12280.4,12131.85,12263.55,0
2020-11-09,12399.4,12474.05,12367.35,12461.05,0
2020-11-10,12556.4,12643.9,12475.25,12631.1,0
2020-11-11,12680.6,12769.75,12571.1,12749.15,0
2020-11-12,12702.15,12741.15,12624.85,12690.8,0
2020-11-13,12659.7,12735.95,12607.7,12719.95,0
2020-11-17,12932.5,12934.05,12797.1,12874.2,0
2020-11-18,12860.1,12948.85,12819.35,12938.25,0
2020-11-19,12839.5,12963.0,12745.75,12771.7,0
2020-11-20,12813.4,12892.45,12730.25,12859.05,0
2020-11-23,12960.3,12968.85,12825.7,12926.45,0
2020-11-24,13002.6,13079.1,12978.0,13055.15,0
2020-11-25,13130.0,13145.85,12833.65,12858.4,0
2020-11-26,12906.45,13018.0,12790.4,12987.0,0
2020-11-27,13012.05,13035.3,12914.3,12968.95,0
2020-12-01,13062.2,13128.4,12962.8,13109.05,0
2020-12-02,13121.4,13128.5,12983.55,13113.75,0
2020-12-03,13215.3,13216.6,13107.9,13133.9,0
2020-12-04,13177.4,13280.05,13152.85,13258.55,0
2020-12-07,13264.85,13366.65,13241.95,13355.75,0
2020-12-08,13393.85,13435.45,13311.05,13392.95,0
2020-12-09,13458.1,13548.9,13449.6,13529.1,0
2020-12-10,13488.5,13503.55,13399.3,13478.3,0
2020-12-11,13512.3,13579.35,13402.85,13513.85,0
2020-12-14,13571.45,13597.5,13472.45,13558.15,0
2020-12-15,13547.2,13589.65,13447.05,13567.85,0
2020-12-16,13663.1,13692.35,13606.45,13682.7,0
2020-12-17,13713.55,13773.25,13673.55,13740.7,0
2020-12-18,13764.4,13772.85,13658.6,13760.55,0
2020-12-21,13741.9,13777.5,13131.45,13328.4,0
2020-12-22,13373.65,13492.05,13192.9,13466.3,0
2020-12-23,13473.5,13619.45,13432.2,13601.1,0
2020-12-24,13672.15,13771.75,13626.9,13749.25,0
2020-12-28,13815.15,13885.3,13811.55,13873.2,0
2020-12-29,13910.35,13967.6,13859.9,13932.6,0
2020-12-30,13980.9,13997.0,13864.95,13981.95,0
2020-12-31,13970.0,14024.85,13936.45,13981.75,0
